,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Marital Status, Marriages and Divorces",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Marital Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore Residents Aged 20 Years & Over By Sex, Age Group And Marital Status, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 30/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number
Data Series,2025 ,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1980 
Total Aged 20-29 Years,425100,451000,478400,430400,492400,527900,509500,509700,500600,525800,501100,505500,491700,504100,498400,503800,477400,456900,453200,454600,455200,449700,442400,443500,450700,458000,460200,455400,479900,464900,472100,505700,503400,515800,511500,516000,521500,525100,538600,539200,534300,536100,545900,505000
  Single,376500,395200,414900,370600,423700,450000,433100,431200,420500,441200,424200,436500,415400,425200,409200,397100,379700,356200,350000,351100,334900,340800,324700,327900,318400,313200,321900,325800,340800,324800,337100,358200,364400,363600,357900,347900,376200,374500,378500,382400,375700,369600,377400,329600
  Married,47600,54200,61200,57900,67000,74900,74100,76100,77800,81900,73700,67000,73400,75900,85200,102400,94000,97100,100000,100100,116600,105800,114300,113400,129900,140000,136200,127500,137000,138200,132200,144700,136300,149700,151300,163400,142600,147400,157500,154200,155900,164300,166300,172700
  Widowed,300,100,200,300,0,100,100,100,100,200,0,100,0,100,100,200,100,100,100,100,100,200,100,100,100,1700,300,300,100,100,200,200,200,300,200,1800,300,500,300,600,200,300,600,600
  Divorced/Separated,800,1500,2100,1600,1600,3000,2300,2300,2200,2500,3000,1900,2800,3000,3900,4100,3600,3400,3100,3300,3600,3000,3300,2100,2300,3200,1900,1800,2000,1800,2600,2600,2500,2100,2100,2800,2400,2700,2300,2000,2400,2000,1500,2100
Males Aged 20-29 Years,218300,234900,249300,223700,252100,265700,264000,258000,256000,266400,252000,255600,248400,256300,249000,251000,240800,227200,222900,223900,226600,222800,215900,217700,221500,224700,224200,223700,238100,225600,239400,252900,257300,258200,259700,262000,265600,267900,273000,275800,270900,272100,278700,257900
  Single,201500,213300,226300,201700,227800,237600,235100,230000,227300,236100,226700,232700,224300,232400,220200,216000,209900,195500,191700,192700,187900,189900,179700,181700,179600,175900,180900,184400,193200,181900,195000,204900,210500,207600,208100,203500,215500,215600,218700,220700,215100,213300,219000,193400
  Married,16500,21300,22200,21600,23800,27300,28100,27200,28100,29300,24500,22300,23400,23000,27800,33900,30000,31000,30500,30400,37600,32100,35300,35200,41200,46300,42600,38600,44100,43200,43600,47300,45900,50100,51000,56900,49200,51400,53300,54400,55200,58100,59200,63700
  Widowed,100,0,100,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1500,200,100,0,0,0,0,100,100,0,800,0,100,200,100,0,100,100,100
  Divorced/Separated,300,300,700,300,500,800,800,800,700,1100,800,600,800,800,1100,1100,900,600,800,800,1100,800,900,800,700,1000,500,600,700,600,800,700,700,500,600,800,900,800,800,600,600,600,400,700
Females Aged 20-29 Years,206800,216100,229100,206700,240300,262200,245500,251600,244600,259400,249100,249900,243200,247800,249400,252800,236600,229700,230300,230700,228600,226900,226500,225800,229100,233300,236000,231700,241800,239300,232700,252800,246100,257500,251800,253900,255900,257100,265600,263400,263400,264100,267100,247100
  Single,174900,181900,188600,168900,195900,212400,198000,201200,193200,205200,197500,203800,191100,192800,189100,181100,169800,160700,158300,158400,147000,150900,145000,146200,138800,137200,140900,141400,147500,142900,142100,153300,153900,156000,149800,144400,160700,158900,159800,161700,160600,156300,158400,136100
  Married,31100,32900,39000,36300,43200,47600,46000,48900,49700,52600,49300,44800,50000,52800,57500,68500,64000,66100,69500,69800,79000,73700,78900,78200,88700,93700,93600,88900,92900,95000,88600,97400,90400,99600,100200,106500,93400,95900,104200,99800,100800,106200,107100,109000
  Widowed,200,100,100,100,0,0,100,100,100,200,0,100,0,100,100,100,100,100,100,100,100,200,100,100,100,200,100,100,100,100,200,200,100,200,200,1000,200,400,200,600,200,200,500,500
  Divorced/Separated,500,1200,1400,1300,1200,2200,1500,1500,1600,1500,2200,1200,2100,2200,2800,3000,2600,2800,2400,2500,2500,2100,2500,1300,1600,2200,1400,1200,1300,1300,1900,1900,1700,1700,1500,2000,1600,1900,1500,1400,1800,1300,1100,1500
Total Aged 30-39 Years,620000,607500,608600,616400,638300,597100,572300,569200,570200,558800,571700,566700,574100,575400,588800,609900,594700,582300,594000,582400,592900,575900,596900,602100,597800,591500,604800,598600,597400,604500,594300,583100,562200,559400,548400,545800,501200,497800,479300,451500,432700,407300,371700,318900
  Single,194700,184100,184800,174900,199000,173100,150300,144600,143300,141400,140600,147300,148700,139500,144000,149300,137100,134500,132400,132400,132500,122700,133800,125700,118700,124100,126200,126300,124400,127300,130900,124300,125000,124400,116000,122500,102600,99300,92300,84400,79000,70800,65400,48800
  Married,413600,408900,408300,423000,420500,404300,405700,408400,412200,402800,413100,403100,409700,416800,426500,439700,439100,430800,445800,434300,443600,440100,450500,462800,464300,449900,465600,461200,459100,463200,449600,446600,424400,422600,420800,408500,387700,388300,376900,356800,345000,328200,300000,262800
  Widowed,700,800,1000,1100,900,900,1100,1500,800,600,900,600,600,700,900,1200,1300,900,1200,1600,1400,1600,1300,1400,2300,2300,1400,1800,1800,2100,2400,2100,2600,2800,2700,4800,3600,2700,3100,3100,2700,3000,2800,2800
  Divorced/Separated,11100,13600,14400,17500,17900,18800,15300,14700,13900,14000,17100,15600,15000,18300,17400,19700,17300,16200,14700,14100,15500,11600,11400,12200,12500,15100,11600,9200,12000,11900,11400,10000,10200,9700,8900,9900,7300,7500,6900,7200,6000,5400,3600,4500
Males Aged 30-39 Years,302800,288600,291100,296700,306200,281000,267700,267700,267700,265100,267800,269500,271400,270100,278600,291000,276800,274700,285400,276500,283500,275700,288100,291400,290100,293000,302400,293800,296300,298900,296200,290100,278400,281200,277300,278100,250400,246500,241300,222900,214000,202100,185700,160100
  Single,108100,97500,100500,95800,106300,90800,79900,79500,76300,77100,76700,80600,80900,76000,79700,82500,75400,74000,74800,74100,75300,69500,75800,74200,67800,72800,76700,73600,74000,73200,78900,75000,74900,75100,68500,74100,62500,58200,53900,48100,44500,38500,36200,27500
  Married,190700,185700,185800,195100,193900,183100,182600,184500,186200,182400,185400,183300,184700,187700,192500,201100,195600,194900,204400,197000,202100,201900,207800,212600,217300,213300,221200,216600,217900,221200,212800,211500,199800,202300,205200,198600,184900,185300,184500,172400,167500,161300,147800,130700
  Widowed,300,300,100,300,100,200,200,200,100,100,100,0,100,100,100,200,200,200,200,300,300,200,200,300,700,1100,400,300,300,500,500,400,600,800,700,1700,600,600,600,300,300,600,300,400
  Divorced/Separated,3600,5100,4700,5500,5800,6900,5000,3600,5100,5400,5600,5600,5600,6300,6200,7200,5600,5600,6100,5100,5800,4000,4300,4200,4300,5800,4200,3300,4100,4000,3900,3100,3100,3000,2900,3600,2400,2400,2200,2100,1700,1700,1400,1600
Females Aged 30-39 Years,317200,318900,317500,319700,332100,316100,304700,301500,302400,293700,303900,297200,302700,305300,310200,318900,317900,307600,308600,305900,309500,300300,308900,310800,307700,298500,302400,304800,301100,305600,298100,293000,283900,278200,271200,267700,250800,251300,238100,228700,218700,205200,186000,158800
  Single,86600,86700,84400,79100,92600,82300,70400,65200,67000,64300,63900,66800,67800,63600,64300,66800,61600,60500,57600,58200,57200,53100,57900,51500,50900,51400,49500,52800,50400,54000,52000,49300,50200,49300,47500,48400,40100,41100,38400,36300,34500,32300,29200,21300
