DataSeries,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Total Resident Participation Rate,67.9,68.2,68.6,70,70.5,68.1,68,67.7,67.7,68,68.3,67,66.7,66.6,66.1,66.2,65.4,65.6,65,65,63,63.3,63.2,63.6,64.4,63.2,64.1,63.1,63.7,64.1,61.9,63.8,63.4,63.9,63.7,63.2
    15 - 19 Years,13.4,12.8,15.7,15.8,15.7,13.8,15.1,15.2,14.2,15.3,15.8,12.3,11.8,12.4,12.3,15.4,11.8,12.8,13.6,12.4,9.8,12.1,11.5,11.9,15.8,14,16.1,13.5,15.5,18.8,16.8,21.6,23.7,27,28.5,25.1
    20 - 24 Years,54,54.3,55.9,57.3,62.4,56,61,61.3,62.2,62.3,65.3,61.8,61.7,63.6,62.8,65.8,63.5,66.5,66.6,70.7,61.7,66.9,67.1,65.2,68.9,66,70.7,68.4,71.7,74.4,74,76.7,78.1,78.8,81,79.1
    25 - 29 Years,90,90.1,88.5,89.3,90.4,90.4,90.1,90,90.2,90.3,90.3,89,88.5,88.3,89.2,89.4,89.3,88.7,90.1,89,87.9,87.9,88.7,87.9,88.5,88,87.1,86.8,87.5,87.4,85.5,86.4,85.7,86.1,85.2,84.8
    30 - 34 Years,93.4,94.1,93.4,93.7,93.4,92.3,92.3,91,91.8,90.8,90.2,89.9,90.1,89.8,88.6,89,88.3,88.6,87.9,87.2,86.5,85.6,85.8,84.4,84.2,83.7,83.4,82.7,82.2,82,79,80.1,80,81,79.5,79
    35 - 39 Years,93.3,92.8,92.3,91.7,91.2,90.4,89.6,89,89.8,89.7,89.1,88.8,88,88,87.3,86.2,85.8,85.6,84.6,83.8,82.6,82.1,81.6,80.2,80.4,79.8,79.3,80.2,78.5,79.1,77.2,78.1,77.4,77,77.6,76.4
    40 - 44 Years,91.1,91.1,90.5,89.8,90.6,89,88.7,88.8,87.7,88.2,87.6,87.1,85.7,85.4,84.9,84.4,84.4,83.3,82.9,82.5,81.2,80.8,80.1,80.1,80.1,78.7,78.8,78.8,77.9,77.5,76.1,76.7,76.4,76.2,75.9,75.2
    45 - 49 Years,88.3,89.1,89.1,89.1,88.3,87.4,87.9,86.5,86.8,86.3,85.9,84.7,84.5,84.4,83.7,82.4,82.1,82.8,80.9,81.4,78.8,79.2,77.6,78.2,78.9,76.9,78.2,76.5,76.2,75.8,73.8,73.9,73.3,71.5,70.4,70.3
    50 - 54 Years,85.9,86,84.2,84.2,84.8,82.2,82.3,82,82.8,81.4,82.4,81.8,80,79.5,79.7,78.6,78.1,77.5,77.3,76.8,72.3,73.4,73.1,72.5,71.4,69.1,69.5,68.9,69.1,68,64.1,64.3,63.5,62.5,63.2,61.9
    55 - 59 Years,77.7,77.5,77.1,78,77.7,75.9,75,75.1,74.9,75.8,75.5,74.3,73.2,72.4,70.2,68.3,68.4,66.6,66,63.5,57.8,59.1,57.5,58.7,55.6,52.4,54.1,53.4,51,52.9,48.7,49.6,47,46.9,46.1,45.4
    60 - 64 Years,68.4,67.9,66.6,67.5,65.9,65,63.9,62.2,63.6,62.8,62.4,61.2,59.7,58.1,54.7,51,50.6,48.8,46.7,43.9,36.6,35.1,34.2,35.4,35.6,32.8,34.8,30.9,32.4,31.6,28.6,30.8,30.4,30.5,29.9,31.3
    65 - 69 Years,50.2,50.5,49.6,49.4,50.9,48.7,46.1,45.3,43.4,43.2,42.2,41.2,40.2,38.6,36.2,30.9,29.9,27.5,26.6,25.3,20.7,18.9,19.5,19.6,20.7,18.6,20.5,18.2,20.9,20.9,17.7,20.4,19.1,20.7,17.5,22.2
    70 - 74 Years,33.6,35,32.9,33.3,31.8,31,28.8,28.3,28,26.8,24.9,25.7,24.2,21.9,20.4,18.7,16.8,15.1,12.2,13.2,9.7,8.9,10.2,10.1,10.6,9.4,11.3,10.6,10,11.6,9.5,12.7,12,12.1,10.3,14
    75 Years & Over,15,13.8,11.8,12.1,11.8,10.2,9.5,9.4,9.1,8.4,8.8,8.4,7.6,6.7,6.4,5.4,5.7,5.4,5,3.9,3.4,2.6,3.4,4.2,4,3.3,4.8,3,4,4.5,3.5,5.6,4.7,4.7,4.8,6.6
    65 Years & Over,32.3,32.5,31.5,32.1,32.9,30.1,28.7,27.8,26.8,26.5,25.8,25.2,23.8,22,20.4,17.6,17.2,16.1,14.8,14.3,11.4,10.4,11.2,11.5,11.8,10.8,12.4,10.7,12.1,12.7,10.6,13.4,12.3,12.8,11.1,14.3
    15 - 24 Years,33.7,33.7,36.5,37.7,41.3,36,38.3,38.1,38.2,39.4,40.6,37.5,36.2,37.8,36.7,39.2,35.6,37.1,36.9,38.9,34.1,38.1,38,38.1,41.4,39.3,na,na,na,na,na,na,na,na,na,na
    25 - 64 Years,85.9,86,85.2,85.5,85.4,84.1,83.8,83.1,83.6,83.3,83.1,82.3,81.7,81.4,80.7,80,79.9,79.7,79.2,78.7,76.6,76.4,76,75.9,76.2,75.1,na,na,na,na,na,na,na,na,na,na
Male Resident Participation Rate,73.6,74,74.9,77,77.2,75.4,75.4,75.6,76,76.2,76.7,75.9,75.8,76,75.6,76.5,76.3,76.1,76.3,76.2,74.4,75.7,76.1,77.2,77.7,76.6,77.8,77.4,78.2,78.7,77.2,79.2,78.8,79.4,79.4,77.5
    15 - 19 Years,16.2,15.7,16.3,19.4,17.6,16.8,17.5,18.4,18,18,18.3,14.9,13.2,13.8,14.6,17.5,13,13.9,15.2,12.6,10.6,12.4,12.6,12.8,17.2,14.4,17.3,15.7,16.7,21.5,18.6,22.5,23.9,28.6,30,25.5
    20 - 24 Years,53,55.7,55.4,57.4,59,54.9,59.3,60.3,62.7,62.6,64.4,63.6,63.2,64.5,63.2,66.2,65.2,66.1,67.5,71.4,61.2,68.6,68.3,67.5,69.6,65,70.3,69.2,71.6,74.2,74.8,78,80.2,81,82.2,80.5
    25 - 29 Years,87,87.2,86.4,87.5,90.2,89.7,90,90.7,90.7,90,90.9,89.4,89,89.9,91.8,93.3,93.3,93.3,93.6,94,91.3,92.3,94,94.1,94.8,94.3,94.1,94.4,94.8,96.5,94.5,96,96,97,96.9,94.3
    30 - 34 Years,96.2,96.4,96.1,97.6,97,96.8,96.8,97.8,97.4,97,97.4,97.5,97.2,97.2,97.4,97.7,97.7,98.1,98.3,98,97.3,98,98.5,98.3,98.2,97.5,98.1,98.4,98.5,98.3,97.1,98.3,98.5,98.7,98.7,95.1
    35 - 39 Years,96.4,97.8,97.1,98,97.4,97.2,97.8,97.2,97.6,97.8,97.5,97.2,97.5,98.2,97.7,98,97.8,97.7,98.1,98.2,97.2,97.7,98.2,98.3,98.6,97.7,98.2,98.8,98.4,98.2,97.7,98.8,98.4,98.5,99.1,96.2
    40 - 44 Years,97.2,96.7,97.1,97.4,97.1,97.4,97.3,97.2,97,97.2,97.1,96.8,97.1,97.1,97.1,96.8,97.8,97.5,97.2,97.7,96.4,97.3,97.2,97.7,98.1,97.2,97.6,98.2,98,98.2,97.5,98.7,98.1,98.3,98.4,96.6
    45 - 49 Years,95.6,96.5,96.7,96.1,96.3,96.1,96,95.4,96.6,96.3,96.9,96.4,96.1,95.6,96,96.1,96.4,96.6,96.6,96.5,94.9,96.5,96,96.8,96.5,96.1,96.9,97.2,96.9,96.8,96.3,97.1,96.7,96.1,96.5,94.6
