year,female_lfpr_pct
1970,29.542
1975,34.867
1976,36.432
1977,37.932
1978,40.136
1979,41.884
1980,44.295
1982,45.208
1983,45.679
1984,45.849
1985,44.861
1986,45.617
1987,46.952
1988,47.793
1989,48.434
1991,48
1992,42.529
1993,41.369
1994,41.693
1995,40.104
1996,41.004
1997,40.069
1998,39.101
1999,50.7
2000,40.58
2001,51.6
2002,50.6
2003,50.9
2004,51.3
2005,52
2006,54.254
2007,53.08
2008,55.614
2009,55.16
2010,56.465
2011,56.965
2012,57.685
2013,58.1
2014,58.643
2015,60.4
2016,60.4
2017,59.8
2018,60.2
2019,61.1
2020,61.2
2021,64.164
2022,63.366
2023,62.641
2024,62.779
2025,62.514
